Dorm,URM,LGB,<$80k,4 yr grad,6 yr grad
Next,20.5,11,23.2,86.4,94.3
Baker,16,4.2,20.6,87.8,95.7
Burton,20.8,10.2,18.6,86.3,94
EC,19.2,38,24.9,75.3,89.4
MacGregor,27.2,8.3,28.2,80.9,92.2
Maseeh,21.4,6.4,23.3,87.2,NA
McCormick,20.2,8.1,27.9,88.8,95.8
New,43.5,16.1,31.4,80.5,91.3
Random,17.2,40.8,35.5,75.3,89.4
Senior,36.7,40,30.9,59.7,78.1
Simmons,30.9,8.7,27.4,83.3,93.5
